Name,Display Name,Brands,Brands copy
3204,3204 - FREEDOM AIR,,
3205,3205 -  N/A,,
3206,3206 -  N/A,,
3207,3207 -  N/A,,
3208,3208 -  N/A,,
3209,3209 -  N/A,,
3210,3210 -  N/A,,
3211,3211 -  N/A,,
3212,3212 - DOMINICANA,,
3213,3213 -  N/A,,
3214,3214 -  N/A,,
3215,3215 - DAN AIR SERVICES,,
3216,3216 - CUMBERLAND AIRLINES,,
3217,3217 - CSA,,
3218,3218 - CROWN AIR,,
3219,3219 - COPA,,
3220,3220 - COMPANIA FAUCETT,,
3221,3221 - TRANSPORTES AEROS MILITARES ECCUATORANOS,,
3222,3222 - COMMAND AIRWAYS,,
3223,3223 - COMAIR,,
3224,3224 -  N/A,,
3225,3225 -  N/A,,
3226,3226 -  N/A,,
3227,3227 -  N/A,,
3228,3228 - CAYMAN AIRWAYS,,
3229,3229 - SAETA SOCIAEDAD ECUATORIANOS DE TRANSPORTES AEREOS,,
3230,3230 -  N/A,,
3231,3231 - SASHA SERVICIO AERO DE HONDURAS,,
3232,3232 -  N/A,,
3233,3233 - CAPITOL AIR,,
3234,3234 - BWIA,,
3235,3235 - BROKWAY AIR,,
3236,3236 -  N/A,,
3237,3237 -  N/A,,
3238,3238 - BEMIDJI AIRLINES,,
3239,3239 - BAR HARBOR AIRLINES,,
3240,3240 - BAHAMASAIR,,
3241,3241 - AVIATECA (GUATEMALA),,
3242,3242 - AVENSA,,
3243,3243 - AUSTRIAN AIR SERVICE,,
3244,3244 -  N/A,,
3245,3245 -  N/A,,
3246,3246 -  N/A,,
3247,3247 -  N/A,,
3248,3248 -  N/A,,
3249,3249 -  N/A,,
3250,3250 -  N/A,,
3251,3251 - ALOHA AIRLINES,,
3252,3252 - ALM,,
3253,3253 - AMERICA WEST,,
3254,3254 - TRUMP AIRLINE,,
3255,3255 -  N/A,,
3256,3256 - ALASKA AIRLINES,,
3257,3257 -  N/A,,
3258,3258 -  N/A,,
3259,3259 - AMERICAN TRANS AIR,,
3260,3260 -  N/A,,
3261,3261 - AIR CHINA,,
3262,"3262 - RENO AIR, INC.",,
3263,3263 -  N/A,,
3264,3264 -  N/A,,
3265,3265 -  N/A,,
3266,3266 - AIR SEYCHELLES,,
3267,3267 - AIR PANAMA,,
3268,3268 -  N/A,,
3269,3269 -  N/A,,
3270,3270 -  N/A,,
3271,3271 -  N/A,,
3272,3272 -  N/A,,
3273,3273 -  N/A,,
3274,3274 -  N/A,,
3275,3275 -  N/A,,
3276,3276 -  N/A,,
3277,3277 -  N/A,,
3278,3278 -  N/A,,
3279,3279 -  N/A,,
3280,3280 - AIR JAMAICA,,
3281,3281 -  N/A,,
3282,3282 - AIR DJIBOUTI,,
3283,3283 -  N/A,,
3284,3284 - AERO VIRGIN ISLANDS,,
3285,3285 - AERO PERU,,
3286,3286 - AEROLINEAS NICARAGUENSIS,,
3287,3287 - AERO COACH AVAIATION,,
3288,3288 -  N/A,,
3289,3289 -  N/A,,
3290,3290 -  N/A,,
3291,3291 - ARIANA AFGHAN,,
3292,3292 - CYPRUS AIRWAYS,,
3293,3293 - ECUATORIANA,,
3294,3294 - ETHIOPIAN AIRLINES,,
3295,3295 - KENYA AIRLINES,,
3296,3296 -  N/A,,
3297,3297 -  N/A,,
3298,3298 - AIR MAURITIUS,,
3299,3299 - WIDERO’S FLYVESELSKAP,,
3351,3351 - AFFILIATED AUTO RENTAL,,
3352,3352 - AMERICAN INTL RENT-A-CAR,,
3353,3353 - BROOKS RENT-A-CAR,,
3354,3354 - ACTION AUTO RENTAL,,
3355,3355 -  N/A,,
3356,3356 -  N/A,,
3357,3357 - HERTZ RENT-A-CAR,,
3358,3358 -  N/A,,
3359,3359 - PAYLESS CAR RENTAL,,
3360,3360 - SNAPPY CAR RENTAL,,
3361,3361 - AIRWAYS RENT-A-CAR,,
3362,3362 - ALTRA AUTO RENTAL,,
3363,3363 -  N/A,,
3364,3364 - AGENCY RENT-A-CAR,,
3365,3365 -  N/A,,
3366,3366 - BUDGET RENT-A-CAR,,
3367,3367 -  N/A,,
3368,3368 - HOLIDAY RENT-A-WRECK,,
3369,3369 -  N/A,,
3370,3370 - RENT-A-WRECK,,
3371,3371 -  N/A,,
3372,3372 -  N/A,,
3373,3373 -  N/A,,
3374,3374 -  N/A,,
3375,3375 -  N/A,,
3376,3376 - AJAX RENT-A-CAR,,
3377,3377 -  N/A,,
3378,3378 -  N/A,,
3379,3379 -  N/A,,
3380,3380 -  N/A,,
3381,3381 - EUROP CAR,,
3382,3382 -  N/A,,
3383,3383 -  N/A,,
3384,3384 -  N/A,,
3385,3385 - TROPICAL RENT-A-CAR,,
3386,3386 - SHOWCASE RENTAL CARS,,
3387,3387 - ALAMO RENT-A-CAR,,
3388,3388 -  N/A,,
3389,3389 - AVIS RENT-A-CAR,,
3390,3390 - DOLLAR RENT-A-CAR,,
3391,3391 - EUROPE BY CAR,,
3392,3392 -  N/A,,
3393,3393 - NATIONAL CAR RENTAL,,
3394,3394 - KEMWELL GROUP RENT-A-CAR,,
3395,3395 - THRIFTY RENT-A-CAR,,
3396,3396 - TILDEN TENT-A-CAR,,
3397,3397 -  N/A,,
3398,3398 - ECONO-CAR RENT-A-CAR,,
3399,3399 -  N/A,,
3400,3400 - AUTO HOST COST CAR RENTALS,,
3401,3401 -  N/A,,
3402,3402 -  N/A,,
3403,3403 -  N/A,,
3404,3404 -  N/A,,
3405,3405 - ENTERPRISE RENT-A-CAR,,
3406,3406 -  N/A,,
3407,3407 -  N/A,,
3408,3408 -  N/A,,
3409,3409 - GENERAL RENT-A-CAR,,
3410,3410 -  N/A,,
3411,3411 -  N/A,,
3412,3412 - A-1 RENT-A-CAR,,
3413,3413 -  N/A,,
3414,3414 - GODFREY NATL RENT-A-CAR,,
3415,3415 -  N/A,,
3416,3416 -  N/A,,
3417,3417 -  N/A,,
3418,3418 -  N/A,,
3419,3419 - ALPHA RENT-A-CAR,,
3420,3420 - ANSA INTL RENT-A-CAR,,
3421,3421 - ALLSTAE RENT-A-CAR,,
3422,3422 -  N/A,,
3423,3423 - AVCAR RENT-A-CAR,,
3424,3424 -  N/A,,
3425,3425 - AUTOMATE RENT-A-CAR,,
3426,3426 -  N/A,,
3427,3427 - AVON RENT-A-CAR,,
3428,3428 - CAREY RENT-A-CAR,,
3429,3429 - INSURANCE RENT-A-CAR,,
3430,3430 - MAJOR RENT-A-CAR,,
3431,3431 - REPLACEMENT RENT-A-CAR,,
3432,3432 - RESERVE RENT-A-CAR,,
3433,3433 - UGLY DUCKLING RENT-A-CAR,,
3434,3434 - USA RENT-A-CAR,,
3435,3435 - VALUE RENT-A-CAR,,
3436,3436 - AUTOHANSA RENT-A-CAR,,
3437,3437 - CITE RENT-A-CAR,,
3438,3438 - INTERENT RENT-A-CAR,,
3439,3439 - MILLEVILLE RENT-A-CAR,,
3440,3440 - VIA ROUTE RENT-A-CAR,,
3441,3441 -  N/A,,
3501,3501 - HOLIDAY INNS,,
3502,3502 - BEST WESTERN HOTELS,,
3503,3503 - SHERATON HOTELS,,
3504,3504 - HILTON HOTELS,,
3505,3505 - FORTE HOTELS,,
3506,3506 - GOLDEN TULIP HOTELS,,
3507,3507 - FRIENDSHIP INNS,,
3508,3508 - QUALITY INNS,,
3509,3509 - MARRIOTT HOTELS,,
3510,3510 - DAYS INN,,
3511,3511 - ARABELLA HOTELS,,
3512,3512 - INTER-CONTINENTAL HOTELS,,
3513,3513 - WESTIN HOTELS,,
3514,3514 -  N/A,,
3515,3515 - RODEWAY INNS,,
3516,3516 - LA QUINTA MOTOR INNS,,
3517,3517 - AMERICANA HOTELS,,
3518,3518 - SOL HOTELS,,
3519,3519 - PULLMAN INTERNATIONAL HOTELS,,
3520,3520 - MERIDIEN HOTELS,,
3521,3521 - CREST HOTELS (see FORTE HOTELS),,
3522,3522 - TOKYO HOTEL,,
3523,3523 - PENNSULA HOTEL,,
3524,3524 - WELCOMGROUP HOTELS,,
3525,3525 - DUNFEY HOTELS,,
3526,3526 -  N/A,,
3527,3527 - DOWNTOWNER-PASSPORT HOTEL,,
3528,3528 - RED LION HOTELS,,
3529,3529 - CP HOTELS,,
3530,3530 - RENAISSANCE HOTELS,,
3531,3531 - ASTIR HOTELS,,
3532,3532 - SUN ROUTE HOTELS,,
3533,3533 - HOTEL IBIS,,
3534,3534 - SOUTHERN PACIFIC HOTELS,,
3535,3535 - HILTON INTERNATIONAL,,
3536,3536 - AMFAC HOTELS,,
3537,3537 - ANA HOTEL,,
3538,3538 - CONCORDE HOTELS,,
3539,3539 -  N/A,,
3540,3540 - IBEROTEL HOTELS,,
3541,3541 - HOTEL OKURA,,
3542,3542 - ROYAL HOTELS,,
3543,3543 - FOUR SEASONS HOTELS,,
3544,3544 - CIGA HOTELS,,
3545,3545 - SHANGRI-LA INTERNATIONAL,,
3546,3546 -  N/A,,
3547,3547 -  N/A,,
3548,3548 - HOTELES MELIA,,
3549,3549 - AUBERGE DES GOVERNEURS,,
3550,3550 - REGAL 8 INNS,,
3551,3551 -  N/A,,
3552,3552 - COAST HOTELS,,
3553,3553 - PARK INNS INTERNATIONAL,,
3554,3554 -  N/A,,
3555,3555 -  N/A,,
3556,3556 -  N/A,,
3557,3557 -  N/A,,
3558,3558 - JOLLY HOTELS,,
3559,3559 -  N/A,,
3560,3560 -  N/A,,
3561,3561 -  N/A,,
3562,3562 - COMFORT INNS,,
3563,3563 - JOURNEY’S END MOTLS,,
3564,3564 -  N/A,,
3565,3565 - RELAX INNS,,
3566,3566 -  N/A,,
3567,3567 -  N/A,,
3568,3568 - LADBROKE HOTELS,,
3569,3569 -  N/A,,
3570,3570 - FORUM HOTELS,,
3571,3571 -  N/A,,
3572,3572 - MIYAKO HOTELS,,
3573,3573 - SANDMAN HOTELS,,
3574,3574 - VENTURE INNS,,
3575,3575 - VAGABOND HOTELS,,
3576,3576 -  N/A,,
3577,3577 - MANDARIN ORIENTAL HOTEL,,
3578,3578 -  N/A,,
3579,3579 - HOTEL MERCURE,,
3580,3580 -  N/A,,
3581,3581 - DELTA HOTEL,,
3582,3582 -  N/A,,
3583,3583 - SAS HOTELS,,
3584,3584 - PRINCESS HOTELS INTERNATIONAL,,
3585,3585 - HUNGAR HOTELS,,
3586,3586 - SOKOS HOTELS,,
3587,3587 - DORAL HOTELS,,
3588,3588 - HELMSLEY HOTELS,,
3589,3589 -  N/A,,
3590,3590 - FAIRMONT HOTELS,,
3591,3591 - SONESTA HOTELS,,
3592,3592 - OMNI HOTELS,,
3593,3593 - CUNARD HOTELS,,
3594,3594 -  N/A,,
3595,3595 - HOSPITALITY INTERNATIONAL,,
3596,3596 -  N/A,,
3597,3597 -  N/A,,
3598,3598 - REGENT INTERNATIONAL HOTELS,,
3599,3599 - PANNONIA HOTELS,,
3600,3600 -  N/A,,
3601,3601 -  N/A,,
3602,3602 -  N/A,,
3603,3603 - NOAH’S HOTELS,,
3604,3604 -  N/A,,
3605,3605 -  N/A,,
3606,3606 -  N/A,,
3607,3607 -  N/A,,
3608,3608 -  N/A,,
3609,3609 -  N/A,,
3610,3610 -  N/A,,
3611,3611 -  N/A,,
3612,3612 - MOVENPICK HOTELS,,
3613,3613 -  N/A,,
3614,3614 -  N/A,,
3615,3615 - TRAVELODGE,,
3616,3616 -  N/A,,
3617,3617 -  N/A,,
3618,3618 -  N/A,,
3619,3619 -  N/A,,
